Country Name,Total Greenhouse Gas Emissions (kilotons),Gini Coefficient,GDP Per Capita (Current US$)
Senegal,10180.00031,38.1,1484.239673
Singapore,47400.00153,,66859.33834
Solomon Islands,360.0000143,,2450.484428
Sierra Leone,860.0000143,35.7,519.6500156
El Salvador,6809.999943,38.6,4145.862351
San Marino,,,48462.96032
Somalia,660.0000262,,379.9860027
Serbia,46130.00107,35,7252.401858
Sub-Saharan Africa (excluding high income),801180.0046,,1622.221534
South Sudan,1549.999952,,
Sub-Saharan Africa,801760.0046,,1623.575743
Small states,230494.2844,,12808.19088
Sao Tome and Principe,140.0000006,,1950.629352
Suriname,2210.000038,,6730.846883
Slovak Republic,33000,25,19486.39368
Slovenia,14069.99969,24.6,26123.74713
Sweden,36009.99832,30,54589.06039
Eswatini,910.0000262,,4020.27305
Sint Maarten (Dutch part),,,28988.25921
Seychelles,579.9999833,32.1,16910.68818
Syrian Arab Republic,27389.99939,,1104.392448
Turks and Caicos Islands,,,26831.97146
Chad,2190.000057,37.5,720.265047
East Asia & Pacific (IDA & IBRD countries),12105559.68,,8032.798909
Europe & Central Asia (IDA & IBRD countries),3329677.1,,8870.39705
Togo,2309.999943,42.4,883.8678323
Thailand,257049.9878,36.4,7124.564544
Tajikistan,8680.000305,,850.6685075
Turkmenistan,73050.00305,,6721.34954
Latin America & the Caribbean (IDA & IBRD countries),1614929.993,,8754.293268
Timor-Leste,610.0000143,,1239.366122
Middle East & North Africa (IDA & IBRD countries),1455579.982,,3490.367204
Tonga,159.9999964,,4649.57939
South Asia (IDA & IBRD),2768789.926,,1920.208396
Sub-Saharan Africa (IDA & IBRD countries),801760.0046,,1623.575743
Trinidad and Tobago,17780.00069,,16164.16133
Tunisia,29889.99939,,3577.124412
Turkiye,411730.011,41.9,9400.778214
Tuvalu,9.999999776,,4401.131201
Tanzania,12000,40.5,1010.937622
Uganda,5860.000134,,793.1280811
Ukraine,185619.9951,26.1,3096.561768
Upper middle income,15662209.7,,9435.780828
Uruguay,6539.999962,39.7,18825.28381
United States,4975310.059,41.4,62823.30944
Uzbekistan,112470.0012,,1597.068337
St. Vincent and the Grenadines,250,,8399.694011
"Venezuela, RB",132130.0049,,
British Virgin Islands,,,
Virgin Islands (U.S.),,,36653.86305
Vietnam,285600.0061,35.7,3267.225009
Vanuatu,209.9999934,,3076.835315
World,34289350.66,,11284.18325
Samoa,289.9999917,,4188.988532
Kosovo,,,4384.048892
"Yemen, Rep.",9720.000267,,701.7148778
South Africa,434350.0061,,7048.522211
Zambia,7730.000019,,1475.204538
Zimbabwe,12380.00011,,2269.177012
