Heat and Power Generation," 138,249 "," 3,095,668 "," 5,304,732 "," 8,538,650 "," 1,318,812 "," 9,857,462 ",,,,Heat and Power Generation," 162,913 "," 460,632 "," 259,377 "," 324,245 "," 430,337 "," 200,727 "," 6,514 "," 204,774 "," 435,988 "," 354,284 "," 330,703 "," 241,477 "," 206,682 "," 185,634 "," 265,307 "," 301,289 "," 286,418 "," 308,221 "," 250,631 "," 189,788 "," 183,742 "," 187,937 "," 294,187 "," 282,338 "," 228,231 "," 232,495 "," 306,665 "," 250,383 "," 221,238 "," 219,432 "," 148,877 "," 254,613 "," 321,291 "," 1,320,091 "," 9,857,462 "
Industrial Processes," 2,348 "," 484,557 "," 1,995,583 "," 2,482,488 "," 365,516 "," 2,848,004 ",,,,Industrial Processes," 24,978 ", 518 ," 851,795 "," 3,139 ", 364 , 848 , 697 ," 1,324 "," 2,114 "," 2,412 "," 781,887 "," 10,432 ", 411 , 255 , 463 , 243 , 434 ," 13,973 ", 609 , 376 , 308 , 291 , 183 ," 361,793 ", 371 ," 149,584 ", 304 , 209 , 392 ," 266,320 "," 4,586 ", 555 , 315 ," 365,521 "," 2,848,004 "
NRMM Exhaust," 2,045 "," 6,728 "," 6,551 "," 15,324 "," 3,461 "," 18,786 ",,,,NRMM Exhaust, 285 , 518 , 426 , 868 , 364 , 848 , 394 ," 1,324 ", 221 , 958 , 774 , 519 , 385 , 242 , 463 , 190 , 379 , 764 , 609 , 376 , 282 , 212 , 183 , 128 , 357 , 480 , 278 , 209 , 379 , 239 , 837 , 555 , 275 ," 3,466 "," 18,786 "
Part A1, 303 ," 471,037 "," 1,955,043 "," 2,426,383 "," 362,055 "," 2,788,438 ",,,,Part A1," 13,939 ", -   ," 843,314 "," 2,245 ", -   , -   , 303 , -   ," 1,801 "," 1,454 "," 781,113 "," 3,200 ", -   , -   , -   , -   , 29 ," 1,071 ", -   , -   , -   , -   , -   ," 361,665 ", -   ," 149,104 ", -   , -   , -   ," 263,396 "," 3,749 ", -   , -   ," 362,055 "," 2,788,438 "
Part A2 / B, -   ," 6,792 "," 33,989 "," 40,781 ", -   ," 40,781 ",,,,Part A2 / B," 10,755 ", -   ," 8,055 ", 26 , -   , -   , -   , -   , 92 , -   , -   ," 6,713 ", 26 , 13 , -   , 53 , 26 ," 12,137 ", -   , -   , 26 , 79 , -   , -   , 14 , -   , 26 , -   , 13 ," 2,685 ", -   , -   , 40 , -   ," 40,781 "
Waste,,,,,,,,,,Waste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Landfill,,,,,,,,,,Landfill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Small Scale Waste Burning,,,,,,,,,,Small Scale Waste Burning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STW,,,,,,,,,,STW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WTS,,,,,,,,,,WTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miscellaneous, 0 , 205 ," 3,052 "," 3,258 "," 4,207 "," 7,464 ",,,,Miscellaneous, 54 , 205 , 106 , 41 , 562 , 11 , -   , 12 , 161 , 93 , 236 , 68 , 13 , 8 , 23 , 87 , 474 , 346 , 119 , 1 , 2 , 71 , 10 , 24 , 58 , 15 , 136 , 165 , 19 , 75 , 4 , 33 , 23 ," 4,209 "," 7,464 "
